,0
151,0.31065884
152,0.2966242
153,0.36001867
154,0.30711964
155,0.39921713
156,0.2829422
157,0.36707464
158,0.348004
159,0.2869479
160,0.31020173
161,0.33126384
162,0.42872804
163,0.42872804
164,0.40202677
165,0.4069768
166,0.43602613
167,0.4572979
168,0.38512155
169,0.46206775
170,0.50919235
171,0.32865304
172,0.46169537
173,0.43518272
174,0.33771008
175,0.36211428
176,0.38443664
177,0.40479413
178,0.38015673
179,0.4429094
180,0.35234416
181,0.43468848
182,0.34043983
183,0.39624128
184,0.4604275
185,0.45017585
186,0.44595042
187,0.326429
188,0.42218205
189,0.42806423
190,0.5313393
191,0.51429874
192,0.48367655
193,0.5265781
194,0.41587263
195,0.37596405
196,0.45768303
197,0.43848822
198,0.39280608
199,0.38910994
200,0.47118208
201,0.47465277
202,0.47378144
203,0.32988825
204,0.32745868
205,0.32214287
206,0.35222945
207,0.3147265
208,0.32172644
209,0.27619752
210,0.28688458
211,0.3609936
212,0.30170202
213,0.43680122
214,0.49361408
215,0.3958361
216,0.4161916
217,0.45859608
218,0.49897507
219,0.34771603
220,0.42710403
221,0.44612163
222,0.6793457
223,0.4791409
224,0.5359059
225,0.6146117
226,0.52687275
227,0.5921555
228,0.50124735
229,0.5924145
230,0.37612605
231,0.31953216
232,0.4101009
233,0.35457304
234,0.39837772
235,0.35614416
236,0.34066612
237,0.26699644
238,0.18582316
239,0.3587554
240,0.2881777
241,0.35497355
242,0.33144763
243,0.29310888
244,0.19830775
245,0.40406743
246,0.3991297
247,0.3312572
248,0.40406743
249,0.3701181
250,0.521661
251,0.46011025
252,0.57383704
253,0.46011025
254,0.3907469
255,0.5490434
256,0.46063617
257,0.41198754
258,0.58232
259,0.48385873
260,0.527856
261,0.36320597
262,0.2600239
263,0.2766023
264,0.43942425
265,0.31101573
266,0.2820139
267,0.52081233
268,0.5071136
269,0.59293073
270,0.5171794
271,0.62458956
272,0.50137717
273,0.5085879
274,0.5644387
275,0.47919556
276,0.46942425
277,0.29162365
278,0.3552907
279,0.2343452
280,0.3481034
281,0.34478676
282,0.31540617
283,0.3979964
284,0.275242
