,0
125,0.41340744
126,0.41340744
127,0.39911735
128,0.33744642
129,0.3006833
130,0.3452271
131,0.35120365
132,0.28715262
133,0.3390794
134,0.31889933
135,0.52673346
136,0.5129769
137,0.46384692
138,0.41962662
139,0.4131159
140,0.49744925
141,0.52514625
142,0.4703589
143,0.48126936
144,0.4060156
145,0.447797
146,0.48074174
147,0.44448456
148,0.47205234
149,0.43857202
150,0.4487067
151,0.45438534
152,0.30023238
153,0.32577926
154,0.3229453
155,0.29979068
156,0.326844
157,0.3053539
158,0.34732682
159,0.2949432
160,0.38125288
161,0.36021212
162,0.36380315
163,0.35881287
164,0.3445213
165,0.33711648
166,0.48415625
167,0.53397876
168,0.4771263
169,0.46361285
170,0.4996843
171,0.39292777
172,0.46907964
173,0.43513253
174,0.48694977
175,0.76256126
176,0.78648084
177,0.7481586
178,0.7568924
179,0.7566512
180,0.689436
181,0.82852876
182,0.3883136
183,0.8387247
184,0.8043364
185,0.867677
186,0.8681646
187,0.8023316
188,0.8284642
189,0.83802253
190,0.81870574
191,0.82804126
192,0.61555815
193,0.38163012
194,0.6159839
195,0.6262172
196,0.61418974
197,0.60750365
198,0.58935905
199,0.6248433
200,0.6020406
201,0.5966736
202,0.58487886
203,0.64443827
204,0.4009396
205,0.5790152
206,0.5985165
207,0.5978072
208,0.58449197
209,0.6098621
210,0.7885677
211,0.74527025
212,0.74435335
213,0.68879265
214,0.3230122
215,0.4008748
216,0.3696948
217,0.3478258
218,0.35894546
219,0.35816714
220,0.340402
221,0.30539098
222,0.33395296
223,0.59375924
224,0.5620809
225,0.69233644
226,0.4093029
227,0.6464232
228,0.6444663
229,0.60405445
230,0.6543586
231,0.61705613
232,0.62756217
233,0.58124864
234,0.7419556
235,0.70980495
236,0.7150848
237,0.40799198
238,0.417647
239,0.7256862
240,0.7033186
241,0.7236283
242,0.74143326
243,0.72590035
244,0.7522852
245,0.74776876
246,0.70764154
247,0.68988234
248,0.8007511
249,0.44168815
250,0.73559874
251,0.7476797
252,0.43956614
253,0.41870263
254,0.3893933
255,0.40966633
256,0.4036089
257,0.39521122
258,0.44139466
259,0.42940715
260,0.4115324
261,0.34611848
262,0.40088195
263,0.39623225
264,0.37462434
265,0.38462704
266,0.37497172
267,0.44263908
268,0.3853718
269,0.37493873
270,0.3920798
271,0.40169019
272,0.36947072
273,0.41799784
274,0.3835785
275,0.44516695
276,0.40452367
277,0.44360948
278,0.43100956
279,0.40995193
280,0.43043315
281,0.44283214
282,0.4420524
283,0.4130998
284,0.44424394
285,0.42752448
286,0.44419777
287,0.4449674
288,0.3962185
289,0.47269684
290,0.43360355
291,0.41826752
292,0.4190142
293,0.47306174
294,0.43104637
295,0.43908006
296,0.4086353
297,0.44949713
298,0.43946153
299,0.46272963
300,0.4541688
301,0.46137124
302,0.43310288
303,0.4238188
304,0.4094259
305,0.40850988
306,0.44532406
307,0.4053623
308,0.4189134
309,0.42172527
310,0.41835174
311,0.38660237
312,0.39980042
313,0.4050449
314,0.4777824
315,0.43444365
316,0.4341775
317,0.42264596
318,0.4094312
319,0.43922076
320,0.39666805
321,0.3762466
322,0.38879886
323,0.4776826
324,0.44656876
325,0.46627754
326,0.45132995
327,0.46541858
328,0.47770366
329,0.4008127
330,0.42693403
331,0.41804674
332,0.38595682
333,0.3566283
334,0.3682013
335,0.35562858
336,0.371466
337,0.3849698
338,0.33422545
339,0.35115787
340,0.3835785
341,0.40799198
342,0.39623225
343,0.4086353
